ticker,stock_name,current_price,market,currency
122830,,1000.0,,KRW
071320,,67700.0,,KRW
078130,,3670.0,,KRW
213500,,6530.0,,KRW
034810,,6320.0,,KRW
084180,,513.0,,KRW
030200,,54600.0,,KRW
017670,,87900.0,,KRW
009580,,1575.0,,KRW
009200,,1397.0,,KRW
000660,,2411000.0,,KRW
005930,,299000.0,,KRW
036930,,233500.0,,KRW
403870,,46300.0,,KRW
240810,,141800.0,,KRW
005380,,497750.0,,KRW
000270,,147000.0,,KRW
003620,,2935.0,,KRW
080010,,6960.0,,KRW
037710,,41600.0,,KRW
151860,,5660.0,,KRW
001390,,4285.0,,KRW
004170,,751000.0,,KRW
069960,,193500.0,,KRW
023530,,171500.0,,KRW
008770,,52900.0,,KRW
023760,,719.0,,KRW
007330,,10240.0,,KRW
204620,,5080.0,,KRW
038540,,2145.0,,KRW
021880,,136.0,,KRW
